,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure
533,0.2927184467140621,0.1465480043149946,0.16599244875943905,0.18586839266450916,0.2052049622437972,0.2260517799352751,0.15396440129449837,0.16957928802588998,0.1872168284789644,0.20571736785329017,0.13875404530744337,0.17600000000000005,[],12,2,1.2999999523162842,1.000000238418579,10,((((..((..((((.....)).))))))))
534,0.34831932739612936,0.14603174603174604,0.16909430438842205,0.18597105508870215,0.20240429505135388,0.21853408029878618,0.15492530345471522,0.17252567693744164,0.18760504201680672,0.20301120448179272,0.13517740429505135,0.04800000000000004,[],14,2,1.4999995231628418,1.1000001430511475,10,.((.(((..(((((...))).)))))..))
535,0.5191489461254566,0.19695626477541373,0.22565011820330969,0.2506501182033097,0.271306146572104,0.28936170212765955,0.21557328605200946,0.23513593380614659,0.255289598108747,0.27375886524822696,0.19370567375886524,0.248,[],11,2,0.6000003814697266,0.6999999284744263,9,(((((((....((.....)).))).)))).
536,0.794988063468569,0.23436754176610977,0.2653142402545744,0.290612569610183,0.3139750729249536,0.3343145054362238,0.2715460090161761,0.2904004242906391,0.30795544948289577,0.3242906390877751,0.25181649429859454,0.16200000000000003,[],11,2,0.3000001907348633,0.40000009536743164,9,((..(((.((((......)))))))..)).
537,0.5308235249799841,0.16525490196078432,0.19351633986928105,0.214640522875817,0.23416993464052288,0.2513464052287582,0.18444444444444444,0.20402614379084968,0.22075816993464054,0.23783006535947712,0.16569934640522876,0.15000000000000002,[],13,2,1.0,0.7999997138977051,10,((.((...((((((....)).)))))).))
538,0.5130705398457179,0.21244813278008298,0.24061779621945598,0.2615952051636699,0.2821576763485477,0.30006915629322267,0.23238819732595667,0.2508298755186722,0.2668741355463347,0.28453204241585983,0.21406177962194559,0.03600000000000003,[],10,2,0.5000002384185791,0.5999999046325684,9,(((((..((((.....))))..))...)))
539,0.2691075556849724,0.26676837020086447,0.2988049834731757,0.3258326976862446,0.3497330282227307,0.3751080600050852,0.27271802695143654,0.3004322400203407,0.32585812356979404,0.3497330282227307,0.24393592677345538,0.126,[],11,2,0.19999980926513672,0.5,7,.....(((((.((.....)))))....)).
540,0.21363637285414805,0.2564279155188246,0.28303489439853075,0.30567033976124885,0.33592745638200183,0.3611111111111111,0.25890725436179984,0.28303489439853075,0.30567033976124885,0.33592745638200183,0.22819100091827366,0.03200000000000003,[][],10,4,0.20000004768371582,0.6999998092651367,7,(((((......)))..))...((.....))
541,0.42549504996231285,0.1794004400440044,0.2045929592959296,0.22623762376237624,0.24642464246424642,0.2653740374037404,0.19592959295929593,0.2143014301430143,0.23154565456545653,0.24944994499449946,0.1743949394939494,0.19199999999999995,[],15,2,0.8999999761581421,0.9000000953674316,9,.((.(((((((...)).)))...)).))..
542,0.46985645592212677,0.17916002126528444,0.20473152578415738,0.22506645401382244,0.2458266879319511,0.26440723019670387,0.19441786283891546,0.21244019138755982,0.2292663476874003,0.2474481658692185,0.17251461988304093,0.16400000000000003,[],13,2,0.8999999761581421,0.9000000953674316,9,.(((((((.((......))))...)).)))
543,0.4742138518383668,0.2190309806662008,0.2518285581178663,0.27656650361052876,0.2983461448870254,0.3188213370603308,0.2418122525040764,0.2645702306079665,0.2832052177964128,0.30191008618681575,0.21660843233170277,0.04600000000000004,[],12,2,0.40000009536743164,0.5,9,..((((..(((..((....)).))))))).
544,0.4807453497349599,0.26503335633770414,0.29224752703013573,0.31251437773176904,0.33123993558776166,0.3495514147688061,0.28334483551874856,0.30149528410397974,0.31780538302277433,0.33409247757073846,0.26344605475040256,0.03400000000000003,[][],11,4,0.19999980926513672,0.39999985694885254,8,((.((...)))).((((......))))...
545,0.39958245999380043,0.20287636279285548,0.23092090002319648,0.25664578983994435,0.28427279053583854,0.3104384133611691,0.21660867548132684,0.23864532591046161,0.2609603340292276,0.2862212943632568,0.1874043145441893,0.04200000000000004,[[][]],10,6,0.5999999046325684,1.0,7,.(((((......))((.....))....)))
546,0.501252608144333,0.24569705404778475,0.27508698677800975,0.30447691950823474,0.3326606355833913,0.3608443516585479,0.2661563442356762,0.28877290651820925,0.3124333101368592,0.3365576432382278,0.24353978195314313,0.04200000000000004,[],11,2,0.2999999523162842,0.8999998569488525,6,((((.....((.....))....)).))...
547,0.326039397237207,0.2736931680038901,0.2974714320447362,0.3185509360564065,0.33569170921468516,0.3520544614636518,0.2830051057622174,0.30087527352297594,0.31918307804522245,0.33569170921468516,0.26423535132506687,0.08599999999999997,[],10,2,0.09999990463256836,0.10000014305114746,9,(((((((((....)))))..))..))....
548,0.5450819724651633,0.17429417122040072,0.1984744990892532,0.21760018214936247,0.2348816029143898,0.2510245901639344,0.19237249544626595,0.2087887067395264,0.22358834244080145,0.23793260473588343,0.17575136612021858,0.02400000000000002,[],13,2,1.0000001192092896,0.7000002861022949,10,(((((((...(((....))).))).)).))
549,0.5788703090725583,0.2693398419339842,0.296978149697815,0.31801487680148766,0.3368898186889819,0.35427708042770806,0.2930729893072989,0.3111111111111111,0.3264760576476058,0.3422594142259414,0.27352394235239424,0.04400000000000004,[],12,2,0.10000014305114746,0.3000001907348633,8,..((((..((.((...))))..))))....
550,0.55550934949003,0.21275121275121275,0.24957264957264957,0.27692307692307694,0.30214830214830213,0.3260799260799261,0.2372834372834373,0.26243936243936244,0.28406098406098407,0.3063756063756064,0.2101871101871102,0.038000000000000034,[],11,2,0.4999995231628418,0.5,9,.((((((.....(((....))))))).)).
551,0.42051282327654016,0.18570750237416905,0.20750237416904083,0.22386039886039885,0.23986229819563154,0.2551519468186135,0.198005698005698,0.21348528015194682,0.2271604938271605,0.24147673314339982,0.17962962962962964,0.06399999999999995,[],14,2,1.0,0.6999998092651367,10,..(((((..(((((...))).)).))).))
552,0.588383847283143,0.23044332210998877,0.2644219977553311,0.2927328843995511,0.3180695847362514,0.33961840628507295,0.26024130190796857,0.2839506172839506,0.30457351290684626,0.32525252525252524,0.23737373737373738,0.20799999999999996,[],10,2,0.39999985694885254,0.5999999046325684,8,((((.((.((...........)).))))))
553,0.6008080824758067,0.23030303030303031,0.2630751964085297,0.28888888888888886,0.3128395061728395,0.3331313131313131,0.2618855218855219,0.2834343434343434,0.30049382716049383,0.31910213243546576,0.23652076318742984,0.010000000000000009,[],12,2,0.39999961853027344,0.6000000238418579,8,...(((..(((..((....)).)))..)))
554,0.5002456872703402,0.25345345345345344,0.28585858585858587,0.3090909090909091,0.3298935298935299,0.3491946491946492,0.27294567294567296,0.2950859950859951,0.31433251433251436,0.33235053235053236,0.2485121485121485,0.18600000000000005,[],11,2,0.20000028610229492,0.2999997138977051,9,..(((.((((((....))..)))))))...
555,0.5046341459380417,0.1800542005420054,0.20634146341463414,0.23203252032520325,0.25471544715447153,0.27411924119241193,0.2032249322493225,0.2213008130081301,0.24059620596205963,0.25937669376693767,0.18333333333333332,0.18000000000000005,[],13,2,0.800000011920929,0.5999999046325684,10,((((((((.((....))))).))...))).
556,0.46043478334727495,0.3014734299516908,0.34309178743961355,0.3778985507246377,0.40606280193236716,0.43318840579710144,0.328768115942029,0.3578743961352657,0.385024154589372,0.40905797101449276,0.29792270531400966,0.07999999999999996,[],9,2,0.09999990463256836,0.5999999046325684,5,....((.....(((....)))...))....
557,0.5369609919906397,0.31795573807894134,0.35464293862651153,0.38316221765913755,0.4105407255304586,0.43632215377595257,0.349783253479352,0.37446954140999317,0.3960301163586585,0.41759069130732374,0.3181154460415241,0.026000000000000023,[][],8,4,2.384185791015625e-07,0.3000001907348633,6,.(((........)))...(((......)))
558,0.33572895430196725,0.28829568788501025,0.31357517681953,0.3347478895733516,0.35724389687428704,0.37773214693132556,0.2957563312799452,0.3165411818389231,0.3360939995436915,0.3574264202600958,0.27180013689253935,0.026000000000000023,[][],10,4,0.09999990463256836,0.6000001430511475,6,..((.......))((((........)).))
559,0.4168724410481168,0.23136716963877457,0.2619112940100594,0.28726566072245086,0.3080932784636488,0.3272748056698674,0.24732510288065843,0.2684956561499771,0.2894604481024234,0.3088705989940558,0.22455418381344308,0.028000000000000025,[],10,2,0.39999985694885254,0.40000009536743164,9,((((((..(((......)))))))...)).
560,0.6823045423583974,0.2747370827617741,0.30795610425240055,0.32855509830818475,0.34922267946959307,0.364586191129401,0.30576131687242797,0.3269318701417467,0.3411065386374028,0.35566986739826245,0.2791266575217192,0.028000000000000025,[],7,2,0.10000038146972656,0.09999990463256836,10,.(((((.....(((((....))))))))))
561,0.2649048514049855,0.3436457599248297,0.3844021611463472,0.41533944092083624,0.44651162790697674,0.47174066243833684,0.3537702607470049,0.38632840028188864,0.41533944092083624,0.44651162790697674,0.319497298567066,0.05400000000000005,[][],8,4,0.0,0.5,4,((........))..((...........)).
562,0.25970772829583394,0.30269079099976803,0.3326374391092554,0.36040361864996523,0.39123173277661794,0.4170958014381814,0.3099976803525864,0.33518905126420784,0.360473208072373,0.39123173277661794,0.28360009278589654,0.04200000000000004,[],9,2,0.0,0.6999998092651367,5,.....(((........((.....)).))).
563,0.6751028819952483,0.31595793324188387,0.342798353909465,0.3624371284865112,0.3783493369913123,0.3921124828532236,0.3390946502057613,0.3568815729309556,0.37043895747599453,0.38310470964791954,0.32121627800640146,0.028000000000000025,[],8,2,0.0,0.0,9,(((...((((((...)))))).))).....
564,0.450207466375531,0.22777777777777777,0.257422775472568,0.28241124942369755,0.3044260027662517,0.3264638082065468,0.24287690179806362,0.2647763946519133,0.28607653296449975,0.306339326878746,0.21878745965882895,0.03600000000000003,[],11,2,0.3999999761581421,0.6000001430511475,8,...(((......(((((...))).))))).
565,0.5126530619908353,0.19165532879818595,0.21807256235827666,0.2371655328798186,0.2573242630385488,0.27643990929705214,0.20947845804988663,0.22755102040816327,0.24319727891156462,0.2609750566893424,0.1891156462585034,0.020000000000000018,[],15,2,0.7999999523162842,1.0999999344348907,8,.....((.((((.((...))..)).)).))
566,0.1764830450637866,0.18069679849340867,0.20313088512241054,0.22709510357815443,0.2539783427495292,0.27184557438794726,0.18166195856873824,0.20313088512241054,0.22709510357815443,0.2539783427495292,0.1576035781544256,0.05600000000000005,[][],13,4,0.8000000268220901,1.0999999642372131,8,((((.((....))))..))..((.....))
567,0.44628711679194233,0.18743124312431242,0.2105885588558856,0.22775027502750275,0.24364686468646865,0.25924092409240923,0.1993949394939494,0.21597909790979097,0.23030803080308032,0.24477447744774478,0.183003300330033,0.19199999999999995,[],14,2,0.9000000953674316,0.6000001430511475,10,..(((.((((.(((...))).))..)))))
568,0.5098989773278284,0.17912457912457913,0.2090460157126824,0.23164983164983166,0.25189674523007854,0.27111111111111114,0.20109988776655444,0.22159371492704827,0.2390347923681257,0.25582491582491584,0.1773063973063973,0.010000000000000009,[],15,2,0.8000001907348633,0.8999998569488525,9,.((.((..(((.((.....)).))))).))
569,0.5347457552107714,0.23177966101694916,0.2589453860640301,0.27817796610169493,0.29580979284369113,0.31139359698681734,0.24950564971751413,0.2683380414312618,0.2835216572504708,0.2983050847457627,0.23288606403013182,0.05600000000000005,[],10,2,0.39999985694885254,0.40000009536743164,9,(((...((((((......)))).))..)))
570,0.16684074052086698,0.18854076008123005,0.20852915578764142,0.2241659413983174,0.2405860168262257,0.2559617058311575,0.1890629532927183,0.20852915578764142,0.2241659413983174,0.2405860168262257,0.163678561067595,0.23399999999999999,[],13,2,1.0,0.6999998092651367,10,((((((((....((...))))).)).))).
571,0.23305438938998776,0.22257089725708973,0.24537424453742446,0.26262203626220365,0.2789400278940028,0.29497907949790797,0.22622036262203626,0.24593212459321245,0.2627150162715016,0.2789400278940028,0.20237099023709904,0.04400000000000004,[],14,2,0.5,0.8000001907348633,8,.....((...((((((...)).)).)).))
572,0.44444444744342027,0.263801537386443,0.297367808059632,0.32336361518751455,0.3478686233403215,0.37020731423247144,0.284509666899604,0.3076170510132774,0.3284416491963662,0.349895178197065,0.257745166550198,0.04600000000000004,[][],13,4,0.19999980926513672,0.5,7,.((.....))..((.(((....))).))..
573,0.5663951039921242,0.19540620049785018,0.22464358452138494,0.2502828694274723,0.27395338311835254,0.29508938673908125,0.21900882552613712,0.23910386965376781,0.2589726182394207,0.2791581805838425,0.19427472278796107,0.018000000000000016,[][],14,4,0.6000003814697266,0.9000000953674316,8,.((.((....))))((.((......)).))
574,0.37565217756706737,0.19352657004830917,0.22161835748792272,0.24280193236714975,0.26258454106280193,0.2831400966183575,0.20417874396135266,0.22485507246376812,0.243768115942029,0.2628502415458937,0.18338164251207728,0.07999999999999996,[][],13,4,0.7000000476837158,1.0,8,((.....))((((((....)).))..))..
