,Unnamed: 0,deltaG,fraction of absolute ddG below 0.2,fraction of absolute ddG below 0.4,fraction of absolute ddG below 0.6,fraction of absolute ddG below 0.8,fraction of absolute ddG below 1.0,fraction of ddG above -0.2,fraction of ddG above -0.4,fraction of ddG above -0.6,fraction of ddG above -0.8,fraction of ddG above 0,fraction of deltaG zero,higher-level coarse-grained structure,length of coarse-grained structure including exterior,length of higher-level coarse-grained structure,lower quartile ddG incl inf,median deltadeltaG,number of basepairs,structure,N,stacks
37,37,0.46987705048723294,0.24055100182149364,0.2687386156648452,0.2885701275045537,0.3068761384335155,0.3246129326047359,0.2584927140255009,0.2773451730418944,0.29364754098360657,0.3097677595628415,0.2367941712204007,0.024000000000000018,[],14,2,0.29999998211860657,0.5999999046325684,8,.......((.((.((.((...)))).)))),31458666407.871998,4
38,38,0.4496774185408828,0.20031063321385906,0.2297252090800478,0.2520908004778972,0.27328554360812424,0.2927837514934289,0.21675029868578252,0.23770609318996416,0.2563201911589008,0.2748148148148148,0.1927837514934289,0.06999999999999995,[],10,2,0.6000001430511475,0.4000000953674317,10,.(((((..(((...((....)))))))))),92035766496.33,3
39,39,0.6859793863960149,0.28217640320733106,0.3191981672394044,0.3543184421534937,0.3851317296678121,0.4143413516609393,0.32788087056128296,0.35122565864833905,0.3752577319587629,0.3978235967926689,0.3034364261168385,0.030000000000000027,[],8,2,0.10000000149011612,0.5000003576278687,6,(((.....(((.....)))....)))....,15911582838182.67,2
40,40,0.14978631881949228,0.17421652421652425,0.1912155745489079,0.2091168091168091,0.2353276353276353,0.2587844254510921,0.17421652421652425,0.1912155745489079,0.2091168091168091,0.2353276353276353,0.15781101614434948,0.06399999999999995,[],10,2,1.0,1.0,9,((..(((((..((...))))))).....)),221902651.152,3
41,41,0.7071823075989991,0.25205647636586864,0.27664211172498465,0.29208103130755064,0.3055862492326581,0.31583793738489874,0.27535297728667896,0.2894720687538367,0.300061387354205,0.3097912829957029,0.2601903007980356,0.276,[],11,2,0.20000028610229487,4.76837158203125e-07,11,((.((((((.(((...))))))))).))..,1087860999562.016,3
42,42,0.6292372808112936,0.33147363465160073,0.3751647834274953,0.4093455743879473,0.4375470809792844,0.4654896421845575,0.3765065913370998,0.4031544256120527,0.4266713747645951,0.4492231638418079,0.3462570621468927,0.05600000000000005,[][],8,4,0.0,0.2999999523162842,6,.(((....)))(((......))).......,10224998500002.719,2
43,43,0.4012903248911263,0.2066905615292712,0.2337873357228196,0.2516606929510155,0.27252090800477896,0.2925448028673835,0.2186857825567503,0.2389725209080048,0.2546953405017921,0.2736439665471924,0.1965113500597372,0.06999999999999995,[],13,2,0.6000001430511475,0.6999998092651367,9,.((..((.(((((...)))))...)).)).,37549252670.58,3
44,44,0.4919028389852057,0.1932748538011696,0.2236617183985605,0.24586144849302746,0.2675213675213675,0.2886864597390913,0.2125506072874494,0.23304093567251466,0.2504273504273504,0.2698605488079172,0.1936122357174989,0.012000000000000009,[],11,2,0.7000000104308128,1.0,8,(((..((....(((...)))....)).))),270054557003.608,3
45,45,0.3991471165215283,0.1603411513859275,0.18535891968727788,0.21049514333096425,0.2328358208955224,0.2560767590618337,0.17209192134565268,0.19248993129590145,0.21397773039564086,0.23430466714048806,0.15209665955934612,0.06200000000000005,[],14,2,1.0,1.0,9,((..(((((...((....))))).)).)).,2105794536.132,4
46,46,0.5225806483217785,0.2615143369175627,0.29034498207885306,0.3144713261648745,0.3365591397849462,0.3558915770609319,0.2828853046594982,0.3021953405017921,0.320676523297491,0.33926971326164873,0.26093189964157704,0.008000000000000007,[][],10,4,0.19999980926513672,0.20000004768371585,9,((.((....)))).(((((......))))),529727742396.448,3
